Nama Tugas,Estimasi (jam),Progress ,Deadline,Kategori,Tipe Beban
mengajar,1,100%,15/11/2025,Non-Akademik,Sesi
mengajar,0.63,100%,15/11/2025,Non-Akademik,Sesi
mengajar,0.5,100%,15/11/2025,Non-Akademik,Sesi
mengajar,2,100%,16/11/2025,Non-Akademik,Sesi
mengajar,1,100%,16/11/2025,Non-Akademik,Sesi
mengajar,1,100%,16/11/2025,Non-Akademik,Sesi
mengajar,2,100%,19/11/2025,Non-Akademik,Sesi
Tugas Pancasila 11,0.3,100%,20/11/2025,Akademik,Dicicil
mengajar,1,100%,20/11/2025,Non-Akademik,Sesi
mengajar,1,100%,20/11/2025,Non-Akademik,Sesi
mengajar,1,100%,20/11/2025,Non-Akademik,Sesi
mengajar,1,100%,21/11/2025,Non-Akademik,Sesi
mengajar,1.5,100%,22/11/2025,Non-Akademik,Sesi
mengajar,1,100%,22/11/2025,Non-Akademik,Sesi
mengajar,0.3,100%,22/11/2025,Non-Akademik,Sesi
mengajar,1,100%,22/11/2025,Non-Akademik,Sesi
mengajar,1.5,100%,22/11/2025,Non-Akademik,Sesi
mengajar,1.5,100%,22/11/2025,Non-Akademik,Sesi
mengajar,2,100%,23/11/2025,Non-Akademik,Sesi
mengajar,1,100%,23/11/2025,Non-Akademik,Sesi
mengajar,1,100%,23/11/2025,Non-Akademik,Sesi
mengajar,2,100%,23/11/2025,Non-Akademik,Sesi
mengajar,1.5,100%,23/11/2025,Non-Akademik,Sesi
Tugas Pancasila 12,0.3,100%,27/11/2025,Akademik,Dicicil
mengajar,1.5,100%,27/11/2025,Non-Akademik,Sesi
mengajar,1.5,100%,27/11/2025,Non-Akademik,Sesi
mengajar,0.5,100%,27/11/2025,Non-Akademik,Sesi
mengajar,1,100%,29/11/2025,Non-Akademik,Sesi
mengajar,1,100%,29/11/2025,Non-Akademik,Sesi
mengajar,2,100%,29/11/2025,Non-Akademik,Sesi
mengajar,1,100%,29/11/2025,Non-Akademik,Sesi
mengajar,1.25,100%,30/11/2025,Non-Akademik,Sesi
mengajar,1,100%,30/11/2025,Non-Akademik,Sesi
mengajar,1,100%,30/11/2025,Non-Akademik,Sesi
Ujian Akhir Semester MPTI ,120,100%,1/12/2025,Akademik,Dicicil
Tugas VisDat 3,6,100%,1/12/2025,Akademik,Dicicil
Tugas Pancasila 13,0.3,100%,4/12/2025,Akademik,Dicicil
Tugas Kelompok Data Analitik 3,2,100%,5/12/2025,Akademik,Dicicil
mengajar,1.35,100%,6/12/2025,Non-Akademik,Sesi
mengajar,1,100%,6/12/2025,Non-Akademik,Sesi
mengajar,1.5,100%,7/12/2025,Non-Akademik,Sesi
mengajar,1,100%,7/12/2025,Non-Akademik,Sesi
mengajar,1.5,100%,8/12/2025,Non-Akademik,Sesi
mengajar,1.5,100%,8/12/2025,Non-Akademik,Sesi
mengajar,2,100%,8/12/2025,Non-Akademik,Sesi
mengajar,1.5,100%,9/12/2025,Non-Akademik,Sesi
mengajar,2,100%,9/12/2025,Non-Akademik,Sesi
mengajar,2,100%,9/12/2025,Non-Akademik,Sesi
mengajar,1.5,100%,10/12/2025,Non-Akademik,Sesi
mengajar,2,100%,10/12/2025,Non-Akademik,Sesi
Ujian Akhir Semester Pancasila,1,100%,11/12/2025,Akademik,Dicicil
mengajar,2,100%,14/12/2025,Non-Akademik,Sesi
Metodologi Penelitian,120,60%,17/12/2025,Akademik,Dicicil
Ujian Akhir Semester Data Analitik,1,100%,19/12/2025,Akademik,Dicicil
Tugas Kuliah Umum,1,100%,19/12/2025,Akademik,Dicicil
Ujian Akhir Semester Kecerdasan Bisnis,40,20%,25/12/2025,Akademik,Dicicil
,,,,,
Tes 1,2,100%,28/12/2025,Akademik,Dicicil
Tes 2,50,50%,28/12/2025,Akademik,Dicicil
